time,REITsReturn,S&P500,NASDAQComposite,Russell2000,Bond,NewHouseSalesGrowth,FHFAHousePriceIndex,TreasuryBondYield,FederalFundRate,CPIgrowth
8-Feb,0.0623,-0.006,0.0034,0.0026,0.0016,-0.0542,-0.006,0.0351,0.03,0.0227
8-Mar,0.0586,0.0475,0.0587,0.041,0.003,-0.0978,-0.009,0.0341,0.0225,0.0235
8-Apr,0.0077,0.0107,0.0455,0.0448,-0.0118,0.0019,-0.011,0.0373,0.02,0.0226
8-May,-0.1088,-0.086,-0.091,-0.0783,-0.0026,-0.0597,-0.011,0.0406,0.02,0.0231
8-Jun,0.0347,-0.0099,0.0142,0.036,0.004,-0.0337,-0.006,0.0397,0.02,0.0241
8-Jul,0.0221,0.0122,0.018,0.035,0.0072,-0.0205,-0.009,0.0395,0.02,0.0251
8-Aug,-0.0019,-0.0908,-0.1164,-0.081,-0.0175,-0.0881,-0.01,0.0381,0.02,0.0254
8-Sep,-0.3167,-0.1694,-0.1773,-0.209,-0.0229,-0.0046,-0.009,0.0382,0.02,0.0247
8-Oct,-0.2306,-0.0748,-0.1077,-0.1198,0.03,-0.0924,-0.009,0.0395,0.01,0.0222
8-Nov,0.1639,0.0078,0.027,0.0556,0.0628,-0.0102,-0.017,0.0292,0.0025,0.02
8-Dec,-0.1731,-0.0857,-0.0638,-0.112,-0.0123,-0.0308,-0.003,0.0221,0.0025,0.0176
9-Jan,-0.2082,-0.1099,-0.0668,-0.1229,-0.0141,-0.1088,0.009,0.0284,0.0025,0.0168
9-Feb,0.0406,0.0854,0.1094,0.0867,0.0114,0.1071,0.002,0.0301,0.0025,0.0179
9-Mar,0.3102,0.0939,0.1235,0.1533,0.0049,-0.0887,-0.012,0.0266,0.0025,0.0176
9-Apr,0.0216,0.0531,0.0332,0.0288,0.0073,-0.0059,-0.005,0.0312,0.0025,0.019
9-May,-0.0373,0.0002,0.0342,0.0134,0.0044,0.1157,-0.002,0.0346,0.0025,0.0183
9-Jun,0.1047,0.0741,0.0782,0.0953,0.0124,0.0452,-0.001,0.0353,0.0025,0.0173
9-Jul,0.1339,0.0336,0.0154,0.0276,0.0123,0.0458,-0.003,0.0348,0.0025,0.0153
9-Aug,0.064,0.0357,0.0564,0.0563,0.0119,0.017,-0.002,0.034,0.0025,0.0144
9-Sep,-0.045,-0.0198,-0.0364,-0.0687,0.0022,-0.0766,-0.001,0.0331,0.0025,0.0151
9-Oct,0.0691,0.0574,0.0486,0.0301,0.013,0.0259,0.002,0.0338,0.0025,0.0171
9-Nov,0.0715,0.0178,0.0581,0.0788,-0.0219,-0.053,0.003,0.032,0.0025,0.017
9-Dec,-0.0521,-0.037,-0.0537,-0.0373,0.0205,-0.0613,-0.01,0.0384,0.0025,0.0182
10-Jan,0.0534,0.0285,0.0423,0.0441,-0.0011,-0.0199,0.002,0.0358,0.0025,0.0155
10-Feb,0.1018,0.0588,0.0714,0.0797,0,-0.0261,-0.005,0.0361,0.0025,0.0134
10-Mar,0.0694,0.0148,0.0264,0.0559,0.0097,0.1339,-0.001,0.0383,0.0025,0.0111
10-Apr,-0.0555,-0.082,-0.0829,-0.0767,0.0109,0.1076,0.001,0.0365,0.0025,0.0092
10-May,-0.0502,-0.0539,-0.0655,-0.0788,0.0176,-0.3365,0.001,0.0328,0.0025,0.0094
10-Jun,0.0952,0.0688,0.069,0.0679,0.0087,0.0893,-0.011,0.0293,0.0025,0.009
10-Jul,-0.0139,-0.0474,-0.0624,-0.075,0.0131,-0.0721,-0.007,0.0291,0.0025,0.0087
10-Aug,0.0447,0.0876,0.1204,0.123,0.0001,-0.0035,-0.001,0.0253,0.0025,0.0089
10-Sep,0.047,0.0369,0.0586,0.0402,0.0018,0.1241,-0.009,0.0251,0.0025,0.008
10-Oct,-0.0196,-0.0023,-0.0037,0.0336,-0.0085,-0.082,0.002,0.026,0.0025,0.0061
10-Nov,0.0466,0.0653,0.0619,0.0779,-0.0126,-0.0137,-0.004,0.028,0.0025,0.0077
10-Dec,0.0412,0.0226,0.0178,-0.0031,0.0076,0.1359,-0.008,0.0329,0.0025,0.008
11-Jan,0.0458,0.032,0.0304,0.054,-0.0001,-0.0583,-0.004,0.0337,0.0025,0.0095
11-Feb,-0.0128,-0.001,-0.0004,0.0244,-0.0019,-0.1205,-0.011,0.0343,0.0025,0.0109
11-Mar,0.0511,0.0285,0.0332,0.0258,0.0154,0.1111,-0.01,0.0347,0.0025,0.0119
11-Apr,0.01,-0.0135,-0.0133,-0.0196,0.0124,0.0333,0.002,0.0329,0.0025,0.0133
11-May,-0.0307,-0.0183,-0.0218,-0.0246,-0.0044,-0.0161,-0.003,0.0306,0.0025,0.0151
11-Jun,0.0105,-0.0215,-0.0062,-0.0367,0.0169,-0.0131,0.004,0.0316,0.0025,0.0164
11-Jul,-0.056,-0.0568,-0.0642,-0.0881,0.0153,-0.0166,0.002,0.028,0.0025,0.0177
11-Aug,-0.1097,-0.0718,-0.0636,-0.1137,0.0084,0.0101,-0.003,0.0222,0.0025,0.0195
11-Sep,0.1428,0.1077,0.1114,0.1504,0.0014,0.0167,0.006,0.0192,0.0025,0.0197
11-Oct,-0.0376,-0.0051,-0.0239,-0.0049,-0.0039,0.0395,-0.006,0.0211,0.0025,0.021
11-Nov,0.0479,0.0085,-0.0058,0.0047,0.0106,0.038,0.005,0.0207,0.0025,0.0215
11-Dec,0.0636,0.0436,0.0801,0.07,0.0129,0.0396,0.003,0.0188,0.0025,0.0223
12-Jan,-0.0091,0.0406,0.0544,0.0229,-0.0026,-0.0176,-0.002,0.0184,0.0025,0.0228
12-Feb,0.0484,0.0313,0.042,0.0239,-0.0058,0.0925,0.002,0.0197,0.0025,0.0218
12-Mar,0.0267,-0.0075,-0.0146,-0.0162,0.0094,-0.0328,0.008,0.0221,0.0025,0.0226
12-Apr,-0.0441,-0.0627,-0.0719,-0.0674,0.0109,0,0.006,0.0191,0.0025,0.0231
12-May,0.0597,0.0396,0.0381,0.0481,-0.0003,0.0452,0.007,0.0156,0.0025,0.0226
12-Jun,0.0217,0.0126,0.0015,-0.0145,0.0138,-0.027,0.004,0.0164,0.0025,0.0222
12-Jul,0.0012,0.0198,0.0434,0.032,0,0.025,0.003,0.0147,0.0025,0.021
12-Aug,-0.0123,0.0242,0.0161,0.0312,0.0027,0.0163,0.006,0.0155,0.0025,0.0191
12-Sep,-0.0025,-0.0198,-0.0446,-0.0224,-0.0004,0.0267,0.004,0.0163,0.0025,0.0198
12-Oct,-0.0027,0.0028,0.0111,0.0039,0.0024,-0.0701,0.005,0.0169,0.0025,0.02
12-Nov,0.0365,0.0071,0.0031,0.0334,-0.0083,0.095,0.005,0.0162,0.0025,0.0194
