,EquityREITsIndex,S&P500,NASDAQComposite,Russell2000,Bond
8-Jan,8101.79 ,1330.63 ,2271.48 ,686.18 ,74.79 
8-Feb,7813.51 ,1322.70 ,2279.10 ,687.97 ,74.91 
8-Mar,8300.40 ,1385.59 ,2412.80 ,716.18 ,75.13 
8-Apr,8786.74 ,1400.38 ,2522.66 ,748.28 ,74.24 
8-May,8854.47 ,1280.00 ,2292.98 ,689.66 ,74.05 
8-Jun,7891.50 ,1267.38 ,2325.55 ,714.52 ,74.35 
8-Jul,8165.42 ,1282.83 ,2367.52 ,739.50 ,74.89 
8-Aug,8345.81 ,1166.36 ,2091.88 ,679.58 ,73.58 
8-Sep,8329.68 ,968.75 ,1720.95 ,537.52 ,71.90 
8-Oct,5691.82 ,896.24 ,1535.57 ,473.14 ,74.05 
8-Nov,4379.55 ,903.25 ,1577.03 ,499.45 ,78.71 
8-Dec,5097.46 ,825.88 ,1476.42 ,443.53 ,77.74 
9-Jan,4215.20 ,735.09 ,1377.84 ,389.02 ,76.65 
9-Feb,3337.41 ,797.87 ,1528.59 ,422.75 ,77.52 
9-Mar,3472.97 ,872.81 ,1717.30 ,487.56 ,77.90 
9-Apr,4550.27 ,919.14 ,1774.33 ,501.58 ,78.47 
9-May,4648.41 ,919.32 ,1835.04 ,508.28 ,78.82 
9-Jun,4474.92 ,987.48 ,1978.50 ,556.71 ,79.79 
9-Jul,4943.57 ,1020.62 ,2009.06 ,572.07 ,80.77 
9-Aug,5605.49 ,1057.08 ,2122.42 ,604.28 ,81.74 
9-Sep,5963.97 ,1036.19 ,2045.11 ,562.77 ,81.91 
9-Oct,5695.33 ,1095.63 ,2144.60 ,579.73 ,82.98 
9-Nov,6088.91 ,1115.10 ,2269.15 ,625.39 ,81.16 
9-Dec,6524.25 ,1073.87 ,2147.35 ,602.04 ,82.83 
10-Jan,6184.30 ,1104.49 ,2238.26 ,628.56 ,82.73 
10-Feb,6514.45 ,1169.43 ,2397.96 ,678.64 ,82.73 
10-Mar,7177.91 ,1186.69 ,2461.19 ,716.60 ,83.54 
10-Apr,7676.20 ,1089.41 ,2257.04 ,661.61 ,84.45 
10-May,7250.53 ,1030.71 ,2109.24 ,609.49 ,85.94 
10-Jun,6886.77 ,1101.60 ,2254.70 ,650.89 ,86.68 
10-Jul,7542.56 ,1049.33 ,2114.03 ,602.06 ,87.82 
10-Aug,7437.87 ,1141.20 ,2368.62 ,676.14 ,87.82 
10-Sep,7770.14 ,1183.26 ,2507.41 ,703.35 ,87.98 
10-Oct,8135.44 ,1180.55 ,2498.23 ,727.01 ,87.24 
10-Nov,7976.14 ,1257.64 ,2652.87 ,783.65 ,86.14 
10-Dec,8347.58 ,1286.12 ,2700.08 ,781.25 ,86.80 
11-Jan,8691.91 ,1327.22 ,2782.27 ,823.45 ,86.79 
11-Feb,9090.25 ,1325.83 ,2781.07 ,843.55 ,86.62 
11-Mar,8973.82 ,1363.61 ,2873.54 ,865.29 ,87.95 
11-Apr,9432.70 ,1345.20 ,2835.30 ,848.30 ,89.04 
11-May,9526.95 ,1320.64 ,2773.52 ,827.43 ,88.65 
11-Jun,9234.38 ,1292.28 ,2756.38 ,797.03 ,90.15 
11-Jul,9331.56 ,1218.89 ,2579.46 ,726.81 ,91.53 
11-Aug,8809.33 ,1131.42 ,2415.40 ,644.16 ,92.30 
11-Sep,7842.64 ,1253.30 ,2684.41 ,741.06 ,92.43 
11-Oct,8962.35 ,1246.96 ,2620.34 ,737.42 ,92.06 
11-Nov,8625.48 ,1257.60 ,2605.15 ,740.92 ,93.04 
11-Dec,9039.07 ,1312.41 ,2813.84 ,792.82 ,94.23 
12-Jan,9613.80 ,1365.68 ,2966.89 ,810.94 ,93.99 
12-Feb,9526.22 ,1408.47 ,3091.57 ,830.30 ,93.45 
12-Mar,9987.37 ,1397.91 ,3046.36 ,816.88 ,94.32 
12-Apr,10254.33 ,1310.33 ,2827.34 ,761.82 ,95.35 
12-May,9802.04 ,1362.16 ,2935.05 ,798.49 ,95.33 
12-Jun,10386.82 ,1379.32 ,2939.52 ,786.94 ,96.64 
12-Jul,10612.21 ,1406.58 ,3066.96 ,812.09 ,96.64 
12-Aug,10624.91 ,1440.67 ,3116.23 ,837.45 ,96.90 
12-Sep,10493.88 ,1412.16 ,2977.23 ,818.73 ,96.87 
12-Oct,10467.52 ,1416.18 ,3010.24 ,821.92 ,97.10 
12-Nov,10439.07 ,1426.19 ,3019.51 ,849.35 ,96.29 
12-Dec,10819.84 ,1498.11 ,3142.13 ,902.09 ,96.47 
13-Jan,11215.56 ,1514.68 ,3160.19 ,911.11 ,96.85 
13-Feb,11354.74 ,1569.19 ,3267.52 ,951.54 ,96.95 
13-Mar,11696.24 ,1597.57 ,3328.79 ,947.46 ,97.84 
