Date,Kaide,Huide,Kaiyuan,Yuexiu,Hualian,Chunquan
2018/12/3,-0.0044 ,,,,,
2018/11/30,0.0886 ,0.059405941,0,0.048319328,0.03816794,-0.09824
2018/10/31,-0.0496 ,-0.038095238,0.0222,-0.072124756,0,0.05305
2018/9/28,0.0374 ,-0.009433962,0.0056,-0.007775328,0,-0.10024
2018/8/31,-0.0093 ,0.009844395,0.0655,0,-0.02962963,-0.09698
2018/7/31,0.0573 ,0.031106745,0.05,0.011384977,0.00746269,0.17468
2018/6/29,0.0000 ,0.003285151,-0.0588,-0.040072107,0.01515152,0.03675
2018/5/31,-0.0143 ,0.022505878,-0.0173,0.045713388,0.01538462,-0.02057
2018/4/30,0.0233 ,0.003032345,-0.0598,-0.003170999,0.015625,-0.04657
2018/3/30,0.0297 ,0.003380663,0.011,0.044146501,-0.00775194,0.01241
2018/2/28,-0.0381 ,0.003051882,-0.0319,0.005776307,0,0.32566
2018/1/31,-0.0003 ,0.019004838,0.033,0.011729717,-0.01526718,-0.06462
2017/12/29,0.0390 ,0.019373019,-0.057,-0.015398792,0,0.00364
2017/11/30,0.0148 ,0.016469746,-0.0248,0.056920247,-0.01503759,-0.00592
2017/10/31,0.0240 ,-0.003211991,0.0149,0,-0.02919708,0
2017/9/29,-0.0784 ,-0.0067352,-0.0337,-0.01454561,0.03007519,0.04645
2017/8/31,0.0796 ,0.008941345,-0.0093,0.011782223,-0.00746269,-0.01225
2017/7/31,0.0316 ,0.022303473,-0.0235,0.049483649,0,0.00309
2017/6/30,-0.0076 ,0.009970458,0,0.029733448,-0.01470588,-0.01214
2017/5/31,0.0101 ,-0.003312477,-0.0043,0.028370665,0,0.01539
2017/4/28,0.0138 ,0,0.0285,0.037315289,-0.02857143,-0.01516
2017/3/31,0.0000 ,0.033079848,-0.0049,-0.008656194,0.01449275,-0.006
2017/2/28,0.0155 ,0.003051106,-0.0322,0.081970275,0.00729927,-0.00302
2017/1/31,0.0447 ,-0.009444654,-0.0089,0.04401482,-0.02142857,-0.00298
2016/12/30,-0.0333 ,-0.027910393,-0.0179,-0.057598908,0.01449275,-0.0089
2016/11/30,-0.0579 ,0.009266123,0.0183,-0.024733082,0,0.01506
2016/10/31,-0.0335 ,-0.02739726,0,-0.057186308,0,-0.01192
2016/9/30,0.0046 ,-0.006091007,-0.0134,-0.042859453,-0.01428571,0.01206
2016/8/31,0.0093 ,0.009403255,0.0042,0.094640734,0.01449275,0.00604
2016/7/29,0.0177 ,0.07881389,-0.0042,0.0592033,-0.0212766,-0.006
2016/6/30,0.0492 ,0.019490851,-0.0132,0.032956998,0.00714286,0.00604
2016/5/31,-0.0193 ,0.003192338,0.0115,-0.011623773,0,0.01229
2016/4/29,0.0034 ,0,0,0.034401788,-0.01408451,-0.00308
2016/3/31,-0.0457 ,0.010483871,-0.0087,0.058959226,0,-0.00909
2016/2/29,0.1005 ,0.063464837,0.0177,0.032989818,-0.02739726,0.00183
2016/1/29,0.0462 ,-0.096124031,-0.0088,-0.052876865,0.04285714,0
2015/12/31,0.0131 ,0,-0.0087,0.017112363,-0.0070922,-0.00582
2015/11/30,-0.0379 ,0.008994916,-0.021,-0.002438662,-0.00704225,0.00292
2015/10/30,0.0574 ,0.047521508,-0.0167,0.043250287,0.01053231,0.02703
2015/9/30,-0.0104 ,-0.003266639,0.0125,-0.001301397,0.00687876,-0.01771
2015/8/31,-0.0400 ,-0.071293136,-0.0205,-0.068492755,-0.00683177,0.02109
2015/7/31,-0.0578 ,0.016968762,0.0084,0.025757935,0,-0.00598
2015/6/30,-0.0092 ,-0.005751534,0.0044,-0.016108829,0,0.01827
2015/5/29,-0.0091 ,0.011636928,-0.0127,-0.009149685,0.00687876,-0.05744
2015/4/30,0.0073 ,0.023828435,0,0.024756722,-0.00683177,0.00288
2015/3/31,0.0427 ,0.002388535,0.0169,0.011458146,0.00687876,0.00289
2015/2/27,0.0096 ,0.005604484,-0.0166,0.068469505,-0.00683177,0.01763
2015/1/30,0.0383 ,0,0.0255,0.051386322,0,0.00591
2014/12/31,0.0303 ,-0.002794411,0,-0.015191633,0,-0.00588
2014/11/28,0.0051 ,0.051195971,-0.0045,0.031335336,0,0.02719
2014/10/31,0.0458 ,-0.040273862,0.0045,0.035157768,0.00687876,0.01848
2014/9/30,-0.0451 ,0.002827141,0.0173,-0.039276258,-0.00683177,-0.05797
2014/8/29,0.0152 ,0.008143322,-0.0253,0.047097714,-0.0758911,-0.00576
2014/7/31,0.0110 ,0.059534081,0.0126,0.018684144,0.08212354,-0.00287
2014/6/30,-0.0459 ,-0.014455782,0.0045,0.013505083,-0.00678541,0.00577
2014/5/30,0.0376 ,0.014667817,-0.0129,0.010944572,0.01375752,-0.00574
2014/4/30,0.0693 ,-0.017380246,0,-0.010353943,0,-0.00289
2014/3/31,-0.0052 ,-0.066851266,0.0045,0.046331156,0,0.03254
2014/2/28,0.0160 ,0.007974482,-0.0045,0.005485167,0,-0.02027
2014/1/31,-0.0043 ,-0.028659954,0.0045,-0.034390153,0.02107112,-0.0143
2013/12/31,-0.0206 ,-0.007686395,0.004,-0.015641063,0,0.00577
2013/11/29,-0.0371 ,0.002697495,-0.0085,-0.015364593,-0.01385281,0
