code,yield,caps,sector
8951,0.029,"977,104",Office
8952,0.031,"856,060",Office
8953,0.0402,"577,535",Commersial
8954,0.037,"506,184",Diversified
8955,0.0328,"410,274",Diversified
8956,0.0422,"162,385",Complex
8957,0.0353,"161,402",Diversified
8958,0.0364,"105,042",Office
8960,0.0409,"530,058",Diversified
8961,0.045,"214,368",Diversified
8964,0.0459,"219,976",Commersial
8966,0.0399,"121,985",Diversified
8967,0.0408,"208,849",Logistics
8968,0.0416,"136,673",Diversified
8972,0.0361,"314,955",Office
8975,0.0425,"142,196",Office
8976,0.0344,"342,838",Office
8977,0.0431,"100,205",Diversified
8984,0.0416,"481,750",Diversified
8985,0.0466,"334,505",Hotels
8986,0.0457,"140,061",Residential
8987,0.0364,"198,989",Office
8963,0.0662,"281,661",Diversified
3226,0.0346,"261,642",Residential
3227,0.0567,"150,182",Office
3234,0.0399,"262,494",Office
3249,0.0482,"188,738",Complex
3269,0.0346,"417,150",Residential
8979,0.0522,"43,164",Residential
3278,0.0454,"145,580",Complex
3279,0.0425,"325,247",Diversified
3281,0.046,"432,410",Logistics
3282,0.0342,"169,935",Residential
3283,0.0376,"515,884",Logistics
3287,0.0497,"114,925",Hotels
3290,0.0528,"61,560",Office
3292,0.047,"226,789",Commersial
3295,0.0405,"209,918",Diversified
3296,0.0455,"167,374",Diversified
3298,0.0525,"140,195",Office
3308,0.0503,"12,352",Healthcare
3451,0.067,"30,764",Diversified
3309,0.0436,"263,346",Diversified
3453,0.0514,"126,417",Commersial
3455,0.055,"21,879",Healthcare
3459,0.0604,"44,915",Residential
3462,0.0423,"635,305",Diversified
3463,0.0634,"34,855",Hotels
3466,0.0478,"118,360",Logistics
3468,0.065,"58,084",Diversified
3470,0.0622,"14,531",Diversified
3471,0.0368,"85,796",Logistics
3472,0.0584,"19,440",Hotels
3473,0.0598,"28,971",Diversified
3476,0.0615,"73,309",Diversified
3478,0.046,"64,900",Hotels
3481,0.0443,"60,470",Logistics
3487,0.0594,"24,271",Logistics
3488,0.0571,"25,088",Diversified
3492,0.0718,"30,335",Office
3493,0.0501,"30,250",Logistics
