name,Issuing_Value(CNY_Million),Sector,time
中联前海开源-远洋集团一号资产支持专项计划??,3203,Commercial,2018/12/13
华泰佳越-顺丰产业园一期资产支持专项计划??,1846,Warehousing,2018/12/11
深创投中金-苏宁云创资产支持专项计划??,4920,Commercial,2018/11/21
深创投安居集团人才租赁住房第一期资产支持专项计划,3100,Residential,2018/11/1
中信证券-阳光城长租公寓1号资产支持专项计划,1210,Residential,2018/9/19
中信证券-泰禾集团慕盛长租公寓1号资产支持专项计划,811,Residential,2018/9/7
中联前海开源-越秀租赁住房一号第一期资产支持专项计划,497,Residential,2018/8/10
高和晨曦-中信证券-领昱1号资产支持专项计划,250,Residential,2018/6/21
华泰佳越-苏宁云新一期资产支持专项计划,3492,Commercial,2018/6/8
中联前海开源-碧桂园租赁住房一号第一期资产支持专项计划,1717,Residential,2018/4/27
皖新光大阅嘉一期资产支持专项计划,555,Commercial,2018/3/30
中联前海开源-保利地产租赁住房一号第一期资产支持专项计划?? ??,1717,Residential,2018/3/13
中联东吴-新建元邻里中心资产支持专项计划,2050,Commercial,2018/2/9
西安迈科大厦资产支持专项计划,540,Office,2017/12/22
招商创融-海富通-步步高资产支持专项计划,1240,Commercial,2017/12/22
苏宁广场2017年资产支持专项计划,1950,Commercial,2017/12/21
新派公寓权益型房托资产支持专项计划,270,Residential,2017/11/3
渤海汇金-中信资本悦方ID Mall资产支持专项计划? ??,2770,Commercial,2017/10/20
畅星-高和红星家居商场资产支持专项计划,2650,Commercial,2017/9/13
中联前海开源-勒泰一号资产支持专项计划?,3500,Commercial,2017/8/3
天风光大-亿利生态广场二期资产支持专项计划? ? ??,736,Commercial,2017/7/28
中信-金石-碧桂园凤凰酒店资产支持专项计划?,3510,Hotels,2017/7/12
招商创融-福晟集团资产支持专项计划?,1700,Office,2017/6/28
开源-北京海航实业大厦资产支持专项计划,2200,Office,2017/3/16
中银招商-北京凯恒大厦资产支持专项计划,3505,Office,2017/3/15
恒泰弘泽-广州海航双塔资产支持专项计划,2700,Office,2017/3/2
兴业皖新阅嘉一期房地产投资信托基金(REIT)资产支持证券,554,Commercial,2017/2/20
恒泰弘泽-华远盈都商业资产支持专项计划,736,Office,2017/1/24
天风光大-亿利生态广场一期资产支持专项计划,1077,Office,2017/1/17
平安苏宁广场资产支持专项计划,1680,Commercial,2016/12/27
长江楚越-中百一期资产支持专项计划,1040,Commercial,2016/12/26
中信皖新阅嘉一期资产支持专项计划,555,Commercial,2016/12/13
中信华夏三胞南京国际金融中心资产支持专项计划,3553,Office,2016/11/28
首誉光控-光控安石大融城资产支持专项计划,2500,Commercial,2016/8/5
中信华夏苏宁云享资产支持专项计划,1847,Warehousing,2016/6/24
东证资管-青浦吾悦广场资产支持专项计划,1050,Commercial,2016/6/16
天风-中航红星爱琴海商业物业信托受益权资产支持专项计划,1400,Commercial,2016/6/14
恒泰浩睿-彩云之南酒店资产支持专项计划,5800,Hotels,2015/12/23
招商创融-天虹商场(一期)资产支持专项计划,1450,Commercial,2015/12/11
恒泰浩睿-海航浦发大厦资产支持专项计划,2500,Office,2015/12/2
中信华夏苏宁云创二期资产支持专项计划,3335,Commercial,2015/6/29
中信华夏苏宁云创资产支持专项计划,4395,Commercial,2014/12/16
中信启航专项资产管理计划,5210,Office,2014/4/25
